"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneSymbol"
"ENSG00000231246",127.502947320611,-3.1804785404359,0.347772671388192,-9.14528024223552,5.94754553173595e-20,1.57232982510456e-17,"LINC02884"
"ENSG00000143333",33.1426775378088,-1.0200490826917,0.326719828536138,-3.12209114231607,0.001795713367636,0.0155993272047271,"RGS16"
"ENSG00000134243",12170.1823721845,-2.23443927889437,0.270514467835673,-8.25996220006872,1.45718606165504e-16,2.40512394176326e-14,"SORT1"
"ENSG00000123689",91.2789944777855,2.61180174170075,0.416078059317384,6.27719170288784,3.44742928273162e-10,2.04627222031162e-08,"G0S2"
"ENSG00000162643",189.408577222967,1.68266727243977,0.230062091939806,7.313970147155,2.59362788521334e-13,2.85390071860668e-11,"DNAI3"
"ENSG00000280099",65.9598055729753,-1.6590458995154,0.515971001618396,-3.2153859312086,0.00130269256178424,0.0120984517485352,NA
"ENSG00000097096",453.747641938234,-1.31794748661019,0.252129349061941,-5.2272672400642,1.72033761468198e-07,5.47713579659155e-06,"SYDE2"
"ENSG00000116584",4876.55550713687,1.00956829983342,0.084350724728554,11.9686974010273,5.18360261529006e-33,4.87673334046489e-30,"ARHGEF2"
"ENSG00000171793",1575.53203666504,-1.55705728750427,0.227989286632044,-6.82951953798261,8.51994930035549e-12,7.00049633342747e-10,"CTPS1"
"ENSG00000134242",11.5612001509969,-1.79726310125821,0.658886239587949,-2.72772899671145,0.00637719763727848,0.0417513398549172,"PTPN22"
"ENSG00000235674",74.9622274466647,-1.11502567766956,0.280456843905986,-3.97574779114088,7.01584490954593e-05,0.0010654571252463,NA
"ENSG00000162496",8430.12034504066,-1.13733505477665,0.365398810581195,-3.11258554171982,0.00185456259703064,0.0160144331462728,"DHRS3"
"ENSG00000049246",444.568911698753,2.22615039490193,0.286858728723669,7.76044154140547,8.46342088913784e-15,1.10588699618068e-12,"PER3"
"ENSG00000284747",19.8931477421999,-1.79198799463946,0.600376347825928,-2.98477446876209,0.00283787475892507,0.0222026825213863,NA
"ENSG00000116285",7128.14371571844,-2.44141023738412,0.233089521797259,-10.4741312203114,1.13575635585295e-25,4.96985850970445e-23,"ERRFI1"
"ENSG00000215912",17.2029694297296,1.25478042754248,0.423781637393319,2.96091268904579,0.00306728879573303,0.0235953008914607,"TTC34"
"ENSG00000237928",24.230957148734,-2.8649357247928,0.683938007913489,-4.18888216716154,2.80331903802226e-05,0.000484364104861587,"NFIA-AS2"
"ENSG00000227141",15.321093713475,-1.42932817191068,0.449344170740803,-3.18092069505262,0.00146807811854432,0.0133060490744364,NA
"ENSG00000286389",35.6265995986533,1.24295323746381,0.371048490430366,3.34984043735673,0.000808581246052035,0.00819292661589397,"LOC105373289"
"ENSG00000288927",191.096972429482,-1.23375902098422,0.424652826201278,-2.90533571157594,0.00366859383713455,0.0270991177062768,NA
"ENSG00000171819",498.324379152559,-5.8475125501214,1.37333171514415,-4.2579025050096,2.06353901091724e-05,0.000375145410912258,"ANGPTL7"
"ENSG00000235927",76.285903798873,-1.18350943752242,0.243547171989517,-4.85946696836766,1.17702217175145e-06,2.99541399275551e-05,"NEXN-AS1"
"ENSG00000162614",11789.9360957863,-2.03036043490902,0.150078679491594,-13.5286400559164,1.05965839638179e-41,1.66154436552665e-38,"NEXN"
"ENSG00000162616",3270.75238623061,-1.53817034070737,0.126007941386005,-12.2069317519872,2.85452222504283e-34,3.35691813665037e-31,"DNAJB4"
"ENSG00000171385",225.410171108529,-1.34387122867171,0.465994088145441,-2.88388042436341,0.00392807876456081,0.0285479837906436,"KCND3"
"ENSG00000060718",794.199277403494,-2.38381326916062,0.650947000689676,-3.66206967177815,0.000250185791542616,0.00310725798921839,"COL11A1"
"ENSG00000134686",6139.53600002277,-1.39215871313629,0.0911104586571813,-15.2799001745181,1.04100060978391e-52,4.89686686842349e-49,"PHC2"
